               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.024249,            0.012377,            0.002407,              0.8932,             0.87245,             0.89192,             0.59736,            0.026872,           0.0060022,           0.0047256,           0.0033175,           0.0033175,           0.0033175
                  83,            0.019709,            0.010516,           0.0016145,             0.95037,             0.88495,             0.92297,              0.6254,            0.026133,           0.0057714,           0.0036078,            0.003235,            0.003235,            0.003235
                  84,            0.027706,             0.01041,           0.0040079,             0.95719,             0.91779,             0.93553,             0.62642,            0.025367,           0.0056751,           0.0037017,           0.0031525,           0.0031525,           0.0031525
                  85,            0.022937,           0.0099446,           0.0016911,             0.95535,             0.92326,             0.94757,             0.64265,             0.02514,           0.0055212,            0.004156,             0.00307,             0.00307,             0.00307
                  86,            0.024817,            0.010864,           0.0017858,             0.95705,             0.90714,             0.95026,             0.62828,            0.022946,           0.0054729,            0.003326,           0.0029875,           0.0029875,           0.0029875
                  87,            0.021413,            0.010343,           0.0028924,             0.99044,             0.88747,             0.95193,             0.65339,            0.024293,           0.0051609,           0.0032211,            0.002905,            0.002905,            0.002905
                  88,             0.02502,            0.010807,           0.0016783,             0.93744,             0.93842,             0.95467,              0.6709,            0.025327,           0.0050756,           0.0031114,           0.0028225,           0.0028225,           0.0028225
                  89,            0.019619,            0.010181,          0.00083279,             0.93265,             0.93842,             0.95392,              0.6602,            0.027138,           0.0050544,           0.0027882,             0.00274,             0.00274,             0.00274
                  90,            0.023337,            0.010195,           0.0011527,             0.91357,             0.94959,             0.94902,             0.65322,            0.025915,           0.0051119,           0.0024285,           0.0026575,           0.0026575,           0.0026575
                  91,            0.020861,            0.010954,           0.0036732,              0.9379,             0.94321,             0.95114,             0.65743,            0.023736,           0.0052491,           0.0021977,            0.002575,            0.002575,            0.002575
                  92,            0.023087,             0.01054,           0.0010893,             0.94273,              0.9465,             0.95298,             0.64697,            0.022861,           0.0053535,           0.0023643,           0.0024925,           0.0024925,           0.0024925
                  93,            0.021039,           0.0093898,            0.001457,             0.95132,             0.94723,               0.954,             0.66319,            0.022554,           0.0053843,           0.0023265,             0.00241,             0.00241,             0.00241
                  94,            0.023682,           0.0099863,            0.001574,             0.96274,             0.93422,             0.95506,             0.67128,            0.021753,           0.0053382,           0.0023645,           0.0023275,           0.0023275,           0.0023275
                  95,            0.019107,           0.0097862,           0.0014653,             0.96067,             0.93602,             0.95583,             0.66544,            0.022709,           0.0052658,           0.0018894,            0.002245,            0.002245,            0.002245
                  96,            0.018095,           0.0098558,           0.0014519,             0.94448,             0.93478,             0.95362,             0.67704,            0.023167,           0.0052633,            0.001815,           0.0021625,           0.0021625,           0.0021625
                  97,            0.017652,           0.0090491,            0.001245,             0.95406,             0.94594,             0.95716,             0.67788,            0.023183,           0.0053652,            0.001538,             0.00208,             0.00208,             0.00208
                  98,            0.022179,            0.010289,           0.0033422,             0.95052,              0.9163,             0.95246,             0.66884,            0.022966,            0.005599,           0.0014749,           0.0019975,           0.0019975,           0.0019975
                  99,            0.019109,           0.0087453,           0.0011142,             0.92476,             0.91913,             0.94704,             0.65846,            0.025926,           0.0058716,           0.0011287,            0.001915,            0.001915,            0.001915
                 100,            0.017437,           0.0088672,           0.0010813,             0.91623,             0.93444,              0.9464,             0.64924,            0.026435,           0.0060227,           0.0010162,           0.0018325,           0.0018325,           0.0018325
                 101,            0.017896,           0.0094103,            0.002041,             0.96293,             0.88812,             0.94797,             0.65444,            0.026603,           0.0061195,          0.00095861,             0.00175,             0.00175,             0.00175
                 102,            0.018961,            0.009314,           0.0025299,             0.95927,             0.89101,              0.9476,             0.65333,            0.024557,           0.0061478,           0.0010528,           0.0016675,           0.0016675,           0.0016675
                 103,            0.017776,           0.0087497,           0.0015164,             0.94377,             0.88684,             0.94266,             0.63775,            0.021223,           0.0063062,           0.0012928,            0.001585,            0.001585,            0.001585
                 104,            0.020222,           0.0086892,           0.0011091,             0.93885,             0.88526,             0.94238,             0.62495,            0.022074,           0.0062835,           0.0012378,           0.0015025,           0.0015025,           0.0015025
                 105,            0.018253,           0.0092204,           0.0012252,             0.93675,             0.91867,             0.93149,             0.62383,            0.023415,           0.0061945,           0.0012747,             0.00142,             0.00142,             0.00142
                 106,            0.017469,           0.0091864,          0.00094539,             0.96226,             0.88735,              0.9382,             0.62776,            0.024341,           0.0060471,           0.0012234,           0.0013375,           0.0013375,           0.0013375
                 107,            0.012694,           0.0075271,          0.00062484,             0.96242,             0.88711,             0.94481,             0.63967,            0.026676,           0.0059057,           0.0011568,            0.001255,            0.001255,            0.001255
                 108,            0.015826,           0.0088017,           0.0010651,             0.96424,             0.89503,              0.9519,             0.63972,             0.02672,           0.0058312,           0.0011057,           0.0011725,           0.0011725,           0.0011725
                 109,            0.020232,           0.0079758,           0.0012467,              0.9233,             0.93333,             0.95141,              0.6428,            0.025961,             0.00579,           0.0010527,             0.00109,             0.00109,             0.00109
                 110,            0.014742,           0.0083457,          0.00083106,              0.9145,             0.93679,             0.95735,             0.65481,            0.026715,           0.0057498,           0.0010272,           0.0010075,           0.0010075,           0.0010075
                 111,            0.015924,           0.0096713,          0.00099474,              0.9141,              0.9458,             0.95305,             0.66493,            0.026995,           0.0056802,          0.00099614,            0.000925,            0.000925,            0.000925
                 112,            0.015576,           0.0086327,          0.00090033,             0.91419,             0.94711,             0.95434,             0.67005,            0.027281,           0.0056451,          0.00095117,           0.0008425,           0.0008425,           0.0008425
                 113,            0.013483,           0.0085411,          0.00069298,             0.91726,             0.94137,              0.9554,             0.66756,            0.027212,           0.0056413,          0.00093636,             0.00076,             0.00076,             0.00076
                 114,            0.014062,           0.0079765,           0.0018035,             0.96849,             0.90212,             0.95573,             0.66956,            0.027227,           0.0056086,          0.00090411,           0.0006775,           0.0006775,           0.0006775
                 115,            0.014485,           0.0083139,          0.00075802,             0.97791,             0.91141,             0.95744,             0.67554,            0.027322,           0.0055698,          0.00085206,            0.000595,            0.000595,            0.000595
                 116,            0.019541,           0.0093974,          0.00093262,             0.97389,             0.91753,             0.95761,             0.68618,            0.026366,            0.005567,          0.00082341,           0.0005125,           0.0005125,           0.0005125
                 117,            0.013511,           0.0081093,           0.0005388,             0.97643,             0.91697,             0.95684,                0.68,            0.025964,           0.0055383,          0.00081221,             0.00043,             0.00043,             0.00043
                 118,            0.012706,           0.0083878,           0.0013761,             0.97808,             0.91533,             0.95671,             0.68579,             0.02582,           0.0055516,          0.00079414,           0.0003475,           0.0003475,           0.0003475
                 119,            0.014903,           0.0086145,           0.0016955,             0.96456,             0.92447,             0.95564,             0.68843,            0.025477,           0.0055474,          0.00080084,            0.000265,            0.000265,            0.000265
